Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0149,2.52,5.57,3.33,78.19,28.03
0.0133,2.51,5.55,3.34,77.54,28.11
0.0117,2.51,5.54,3.36,76.87,28.21
0.009,2.50,5.57,3.35,77.41,27.97
0.0073,2.49,5.59,3.33,77.95,27.70
0.0065,2.50,5.60,3.32,78.22,27.53
0.0067,2.50,5.61,3.32,78.66,27.64
0.0071,2.51,5.59,3.32,78.41,27.60
0.0076,2.51,5.57,3.31,78.03,27.54
0.0087,2.51,5.52,3.29,76.72,27.25
0.0098,2.52,5.51,3.29,76.26,27.16
0.011,2.52,5.51,3.28,76.36,27.13
0.0122,2.52,5.50,3.28,76.25,27.09
0.0128,2.52,5.50,3.28,76.03,27.04
0.0134,2.52,5.49,3.28,75.92,27.03
0.0148,2.52,5.47,3.27,75.44,26.96
0.0163,2.53,5.45,3.26,75.10,26.94
0.0177,2.53,5.38,3.23,73.39,26.46
0.0182,2.52,5.27,3.17,70.18,25.36
0.0188,2.51,5.17,3.11,66.98,24.27
0.0196,2.50,5.05,3.04,63.59,23.08
0.02,2.50,4.95,2.98,61.32,22.15
0.0201,2.52,4.98,2.98,62.51,22.43
0.02,2.54,5.09,3.05,65.81,23.57
0.0199,2.54,5.24,3.13,69.63,24.92
0.0199,2.54,5.38,3.22,73.54,26.30
0.0198,2.53,5.42,3.24,74.41,26.67
0.0197,2.54,5.41,3.24,74.26,26.66
0.0196,2.55,5.42,3.25,74.85,26.93
0.0194,2.56,5.42,3.25,75.31,27.16
0.0193,2.57,5.42,3.26,75.61,27.34
0.019,2.57,5.49,3.30,77.60,28.05
0.0191,2.57,5.46,3.28,76.58,27.67
0.0195,2.56,5.30,3.19,71.92,25.99
0.0199,2.56,5.17,3.11,68.34,24.67
0.0201,2.56,5.07,3.05,65.74,23.76
0.0202,2.56,4.98,2.99,63.32,22.91
0.0204,2.56,4.94,2.97,62.47,22.60
0.0207,2.56,4.98,2.99,63.43,22.90
0.0211,2.55,5.07,3.04,65.64,23.64
0.0214,2.55,5.16,3.09,67.80,24.38
0.0217,2.55,5.25,3.14,70.04,25.16
0.0223,2.55,5.30,3.18,71.43,25.73
0.0227,2.56,5.34,3.22,73.06,26.50
0.0229,2.58,5.33,3.22,73.42,26.87
0.023,2.61,5.28,3.20,72.63,26.76
0.0229,2.62,5.26,3.20,72.41,26.73
0.0228,2.62,5.24,3.19,71.99,26.63
0.0223,2.62,5.26,3.20,72.51,26.78
0.0215,2.63,5.28,3.21,73.33,27.05
0.021,2.62,5.31,3.22,74.08,27.27
0.0209,2.61,5.34,3.24,74.44,27.33
0.0209,2.60,5.33,3.22,73.71,26.98
0.021,2.59,5.32,3.21,73.23,26.72
0.0213,2.59,5.31,3.21,72.92,26.65
0.0215,2.59,5.29,3.20,72.34,26.47
0.0216,2.59,5.28,3.19,72.00,26.33
0.0217,2.58,5.29,3.20,72.27,26.37
0.0217,2.57,5.31,3.20,72.53,26.40
0.0219,2.57,5.32,3.20,72.59,26.38
0.0222,2.57,5.33,3.22,73.04,26.54
0.0225,2.57,5.36,3.23,73.82,26.88
0.0228,2.58,5.36,3.24,74.08,27.03
