Porosity,Density (g/cc),Vp (km/s),Vs (km/s),C33 (Gpa),C44 (Gpa)
0.01,2.341,2.85,1.71,19.02,6.83
0.01,2.341,3.134,1.832,22.98,7.64
0.01,2.341,3.286,1.886,25.28,8.08
0.01,2.398,3.141,1.928,23.66,8.35
0.01,2.398,3.299,1.98,26.1,8.82
0.01,2.398,3.431,2.02,28.23,9.17
0.01,2.268,2.978,1.907,20.11,8.46
0.01,2.268,3.211,1.994,23.38,9.13
0.01,2.268,3.369,2.071,25.74,9.78
0.01,2.356,2.961,2.002,20.66,9.52
0.01,2.356,3.213,2.079,24.32,10.24
0.01,2.356,3.394,2.149,27.14,10.9
0.01,2.37,3.061,2.095,22.21,10.38
0.01,2.37,3.331,2.18,26.3,11.21
0.01,2.37,3.507,2.25,29.15,11.95
0.01,2.386,3.173,2.1,24.01,10.58
0.01,2.386,3.433,2.188,28.11,11.45
0.01,2.386,3.598,2.257,30.88,12.2
0.0226,2.615,3.37,1.92,29.7,9.64
0.0412,2.5861,3.32,1.91,28.51,9.43
0.0319,2.6006,3.6,2.1,33.7,11.47
0.0199,2.6192,3.82,2.22,38.22,12.91
0.0259,2.6099,3.9,2.31,39.7,13.93
0.114,2.4733,3.92,2.49,38.01,15.34
0.1,2.495,3.75,2.4,35.09,14.37
0.21,2.3245,3.07,1.56,21.91,5.66
0.21,2.3245,2.78,1.57,17.97,5.73
0.18,2.371,3.25,1.69,25.04,6.77
0.029,2.605,3.6,2,33.76,10.42
0.012,2.6314,3.86,2.22,39.21,12.97
0.105,2.5141,3.001,1.41,22.5,5
0.105,2.5141,3.12,1.5265,24.2,5.9
0.105,2.5141,3.296,1.663,27,6.9
0.105,2.5141,3.436,1.7675,29.7,7.8
0.105,2.5141,3.545,1.8345,31.6,8.3
0.105,2.5141,3.622,1.902,32.9,8.8
0.025,2.6502,3.246,1.713,27.3,7.8
0.025,2.6502,3.392,1.8135,29.5,8.5
0.025,2.6502,3.476,1.863,30.8,8.9
0.025,2.6502,3.552,0.9475,32.1,9.2
0.025,2.6502,3.602,1.933,33.1,9.5
0.025,2.6502,3.669,1.963,34.3,9.8
0.025,2.6502,3.736,2.0015,35.5,10.2
0.025,2.6502,3.777,2.023,36.4,10.3
0.064,2.511,3.1179,1.5316,24.41,5.89
0.064,2.511,3.2351,1.5726,26.28,6.21
0.064,2.511,3.3142,1.62,27.58,6.59
0.047,2.499,3.2748,1.6556,26.8,6.85
0.047,2.499,3.3794,1.6986,28.54,7.21
0.047,2.499,3.4463,1.7701,29.68,7.83
0.035,2.574,3.7372,2.0484,35.95,10.8
0.035,2.574,3.8534,2.1311,38.22,11.69
0.035,2.574,3.9119,2.1699,39.39,12.12
0.05,2.535,3.2228,1.6062,26.33,6.54
0.05,2.535,3.3246,1.6677,28.02,7.05
0.05,2.535,3.3741,1.6993,28.86,7.32
0.041,2.605,3.7268,2.3779,36.18,14.73
0.041,2.605,3.7891,2.3956,37.4,14.95
0.041,2.605,3.8394,2.4092,38.4,15.12
0.041,2.605,3.9024,2.4267,39.67,15.34
0.064,2.627,3.8535,2.5795,39.01,17.48
0.064,2.627,3.966,2.6278,41.32,18.14
0.064,2.627,4.0674,2.6559,43.46,18.53
0.064,2.627,4.1973,2.6687,46.28,18.71
0.069,2.626,3.7287,2.496,36.51,16.36
0.069,2.626,3.7749,2.5089,37.42,16.53
0.069,2.626,3.819,2.521,38.3,16.69
0.069,2.626,3.8705,2.5354,39.34,16.88
0.067,2.56,3.5893,2.2509,32.98,12.97
0.067,2.56,3.7034,2.2647,35.11,13.13
0.067,2.56,3.793,2.2768,36.83,13.27
0.067,2.56,3.8795,2.2887,38.53,13.41
0.055,2.597,4.1733,2.6385,45.23,18.08
0.055,2.597,4.2659,2.6603,47.26,18.38
0.055,2.597,4.334,2.6755,48.78,18.59
0.055,2.597,4.4088,2.6877,50.48,18.76
0.347,1.841,2.712,1.4814,13.54,4.04
0.347,1.841,2.7259,1.4887,13.68,4.08
0.347,1.841,2.7389,1.496,13.81,4.12
0.347,1.841,2.7478,1.5014,13.9,4.15
0.316,1.949,2.9931,1.6366,17.46,5.22
0.316,1.949,3.0178,1.6522,17.75,5.32
0.316,1.949,3.0373,1.6614,17.98,5.38
0.316,1.949,3.0558,1.6707,18.2,5.44
