Porosity,Density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44(GPa)
0.076,2.61,3.89,2.09,39.51,11.36
0.072,2.61,4.04,2.22,42.65,12.83
0.060,2.63,4.26,2.30,47.78,13.96
0.047,2.64,4.35,2.36,50.09,14.78
0.034,2.66,4.31,2.37,49.43,14.97
0.030,2.66,4.28,2.30,48.76,14.04
0.027,2.67,4.17,2.25,46.41,13.52
0.036,2.66,4.05,2.19,43.48,12.75
0.048,2.64,3.96,2.12,41.40,11.89
0.056,2.63,3.87,2.08,39.47,11.43
0.068,2.62,3.83,2.05,38.44,11.01
0.077,2.61,3.85,2.04,38.57,10.82
0.076,2.61,3.86,2.03,38.90,10.77
0.064,2.62,3.85,2.01,38.82,10.57
0.054,2.63,3.80,1.96,38.04,10.13
0.061,2.63,3.77,1.94,37.33,9.85
0.068,2.62,3.74,1.93,36.55,9.78
0.081,2.60,3.74,1.98,36.33,10.22
0.080,2.60,3.76,2.01,36.75,10.51
0.078,2.61,3.81,2.07,37.92,11.12
0.071,2.61,3.95,2.13,40.72,11.87
0.058,2.63,4.10,2.21,44.23,12.83
0.054,2.64,4.14,2.26,45.07,13.50
0.063,2.62,4.14,2.27,45.06,13.51
0.055,2.63,4.16,2.25,45.68,13.38
0.067,2.62,4.13,2.24,44.78,13.13
0.053,2.64,4.08,2.25,43.91,13.32
0.049,2.64,4.11,2.26,44.54,13.45
0.062,2.63,4.05,2.24,43.01,13.17
0.059,2.63,4.06,2.22,43.42,13.01
0.059,2.63,4.09,2.22,43.89,13.01
0.066,2.62,4.06,2.16,43.11,12.19
0.062,2.63,3.95,2.05,40.89,11.04
0.062,2.63,3.81,1.96,38.11,10.07
0.058,2.63,3.66,1.87,35.16,9.21
0.055,2.63,3.51,1.81,32.54,8.65
0.063,2.62,3.47,1.81,31.63,8.61
0.080,2.60,3.55,1.87,32.77,9.13
0.092,2.59,3.67,1.91,34.80,9.47
0.058,2.63,3.75,1.97,36.99,10.17
0.061,2.63,3.81,2.02,38.11,10.68
0.050,2.64,3.82,2.01,38.59,10.69
0.064,2.62,3.81,1.99,38.00,10.34
0.083,2.60,3.79,1.98,37.40,10.25
0.072,2.61,3.80,2.01,37.67,10.61
0.064,2.62,3.81,2.03,38.10,10.78
0.048,2.64,3.83,2.03,38.70,10.94
0.051,2.64,3.84,2.05,38.88,11.06
0.073,2.61,3.85,2.05,38.73,10.98
0.063,2.62,3.86,2.03,39.08,10.79
0.047,2.64,3.82,1.98,38.61,10.36
0.047,2.64,3.74,1.92,36.92,9.71
0.053,2.64,3.64,1.86,34.90,9.12
0.055,2.63,3.56,1.84,33.47,8.93
0.051,2.64,3.58,1.84,33.88,8.98
0.027,2.67,3.62,1.86,34.95,9.24
0.034,2.66,3.68,1.89,36.04,9.53
0.041,2.65,3.72,1.89,36.66,9.51
0.054,2.64,3.70,1.88,36.14,9.30
0.058,2.63,3.62,1.84,34.56,8.93
0.059,2.63,3.53,1.77,32.69,8.25
0.066,2.62,3.43,1.71,30.75,7.64
0.065,2.62,3.38,1.68,29.87,7.43
0.057,2.63,3.35,1.67,29.59,7.37
0.066,2.62,3.35,1.67,29.38,7.30
0.061,2.63,3.35,1.67,29.49,7.32
0.065,2.62,3.35,1.67,29.50,7.35
0.071,2.61,3.36,1.68,29.51,7.37
0.082,2.60,3.36,1.68,29.35,7.31
0.089,2.59,3.34,1.67,28.98,7.25
0.084,2.60,3.35,1.67,29.10,7.21
0.065,2.62,3.34,1.66,29.21,7.22
0.044,2.65,3.33,1.65,29.36,7.23
0.061,2.63,3.33,1.65,29.14,7.18
0.065,2.62,3.33,1.65,29.13,7.16
0.064,2.62,3.33,1.65,29.17,7.16
0.060,2.63,3.33,1.65,29.16,7.13
0.069,2.62,3.32,1.64,28.91,7.07
0.072,2.61,3.32,1.64,28.87,7.02
0.060,2.63,3.33,1.64,29.07,7.04
0.051,2.64,3.32,1.64,29.06,7.10
0.045,2.65,3.33,1.66,29.34,7.27
0.093,2.59,3.37,1.68,29.45,7.32
0.091,2.59,3.40,1.70,29.94,7.50
0.081,2.60,3.41,1.70,30.28,7.55
0.077,2.61,3.41,1.70,30.26,7.52
0.069,2.62,3.39,1.69,30.04,7.47
0.072,2.61,3.38,1.68,29.81,7.35
0.078,2.61,3.37,1.67,29.58,7.29
0.090,2.59,3.36,1.67,29.27,7.24
0.075,2.61,3.36,1.67,29.53,7.30
0.070,2.62,3.36,1.67,29.49,7.33
0.086,2.60,3.36,1.68,29.35,7.29
0.079,2.60,3.37,1.68,29.52,7.37
0.073,2.61,3.37,1.69,29.69,7.44
0.071,2.62,3.38,1.69,29.93,7.47
0.056,2.63,3.38,1.69,30.08,7.51
0.046,2.64,3.36,1.69,29.89,7.52
0.060,2.63,3.34,1.68,29.39,7.42
0.077,2.61,3.34,1.68,29.06,7.37
0.071,2.61,3.33,1.67,28.94,7.32
0.070,2.62,3.33,1.69,29.09,7.44
0.072,2.61,3.34,1.70,29.21,7.57
0.081,2.60,3.37,1.71,29.47,7.60
0.077,2.61,3.36,1.74,29.50,7.90
0.088,2.59,3.45,1.83,30.93,8.70
0.087,2.60,3.57,1.91,33.17,9.49
0.077,2.61,3.73,2.05,36.36,10.98
